Depth,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCELM,RT,PHIF,SAND_FLAG,SW,VSH
3390.2,8.6976,0.0619,73.965,127.32,59.5922,0.1728,6.0613,1.4526,1.3635,2.4977,28.0654,1.4109,1.3993,0.087,0,1,0.3766
3390.3,8.6973,0.0562,73.8628,126.8758,57.369,0.1727,5.9521,1.4845,1.3873,2.4799,28.0666,1.3936,1.2952,0.0971,0,1,0.3612
3390.4,8.6638,0.0479,73.7289,127.2949,55.5169,0.1665,5.849,1.4605,1.4023,2.4658,28.003,1.4104,1.3178,0.1053,1,1,0.3483
3390.5,8.6807,0.0429,73.6828,127.5772,56.7224,0.1652,5.761,1.4491,1.4333,2.4653,27.9394,1.4887,1.4579,0.1056,1,0.9663,0.3566
3390.6,8.6973,0.0444,73.698,127.7819,58.734,0.1618,5.7524,1.4887,1.4601,2.4778,27.8762,1.543,1.5339,0.0985,0,1,0.3706
3390.7,8.664,0.0505,73.6438,128.3958,59.359,0.1642,5.8649,1.5424,1.4884,2.494,27.8675,1.6055,1.6352,0.0892,0,1,0.3749
3390.8,8.6976,0.0566,73.4803,128.3562,59.9493,0.1619,6.083,1.5928,1.5171,2.5055,27.8589,1.6733,1.7326,0.0826,0,1,0.3788
3390.9,8.6978,0.06,73.2174,127.7262,63.6381,0.1596,6.3205,1.6215,1.5354,2.511,27.8508,1.702,1.7506,0.0794,0,1,0.4043
3391,8.7227,0.0594,72.8477,127.0356,65.9884,0.1527,6.4712,1.6954,1.5632,2.5129,27.9223,1.7206,1.759,0.0783,0,1,0.4206
3391.1,8.6976,0.0565,72.5383,126.254,65.304,0.152,6.5022,1.7439,1.582,2.5165,27.9937,1.8186,1.9273,0.0763,0,1,0.4159
3391.2,8.6976,0.0547,72.2957,125.3762,63.9008,0.1502,6.4574,1.7105,1.5881,2.5245,28.0648,1.8931,2.1492,0.0718,0,1,0.4063
3391.3,8.6976,0.0572,72.1524,124.8824,62.2689,0.1513,6.4087,1.7122,1.5976,2.5364,28.0587,1.9073,2.1673,0.065,0,1,0.395
3391.4,8.6976,0.0634,72.102,124.3035,60.433,0.1539,6.4048,1.7188,1.6032,2.5463,28.0526,1.8813,2.0783,0.0593,0,1,0.3823
3391.5,8.6976,0.0694,72.1681,123.5874,60.4347,0.1561,6.4247,1.7224,1.6056,2.5469,28.0466,1.8413,1.9839,0.0589,0,1,0.3823
3391.6,8.6976,0.0705,72.2498,123.01,60.7748,0.1568,6.4172,1.7336,1.6038,2.5367,28.0604,1.8212,1.9205,0.0647,0,1,0.3846
